iter	Logloss
0	0.6638990527
1	0.6407792874
2	0.6223777625
3	0.6066025933
4	0.5948500512
5	0.5851693675
6	0.5775625795
7	0.5716578461
8	0.566094356
9	0.5618664733
10	0.5579512686
11	0.5541890103
12	0.5514340861
13	0.5489239192
14	0.5464433219
15	0.5446514789
16	0.5429893104
17	0.5414302771
18	0.5397035818
19	0.538438039
20	0.5376590257
21	0.5364873224
22	0.5353103868
23	0.5342896617
24	0.5332117716
25	0.5325762844
26	0.5315041463
27	0.5306779698
28	0.5299172437
29	0.5291466702
30	0.5280291051
31	0.5267422592
32	0.5258760586
33	0.5254244499
34	0.524732922
35	0.5238569999
36	0.522819281
37	0.5221339865
38	0.5212517233
39	0.5209249546
40	0.5203632812
41	0.5198703615
42	0.5186484772
43	0.5178205803
44	0.5170941659
45	0.5163435997
46	0.5155879803
47	0.5148184764
48	0.5144413785
49	0.5141153306
50	0.5137360272
51	0.5128286629
52	0.5123330619
53	0.5118402796
54	0.5111822816
55	0.5108282123
56	0.5100820158
57	0.5093951541
58	0.5091328966
59	0.5087597635
60	0.5081040169
61	0.5075134718
62	0.507114615
63	0.5068056154
64	0.5063105903
65	0.5057815663
66	0.5054226798
67	0.5050669185
68	0.5048702101
69	0.5046826234
70	0.5037335082
71	0.5032644385
72	0.5025824896
73	0.5022314941
74	0.5020189845
75	0.5015520482
76	0.5014178792
77	0.5008940663
78	0.5004207673
79	0.5001066056
80	0.4995975028
81	0.4994695622
82	0.4991380615
83	0.4988291312
84	0.498552123
85	0.4982098129
86	0.497874292
87	0.4975665512
88	0.4973514585
89	0.4969992416
90	0.4966283969
91	0.4961028687
92	0.4958643415
93	0.4956578368
94	0.495475057
95	0.4948629749
96	0.49444646
97	0.4942755056
98	0.4935192689
99	0.492861541
100	0.4927042388
101	0.4923170899
102	0.4919782081
103	0.4917160274
104	0.491432737
105	0.4911334724
106	0.4906951331
107	0.4905067148
108	0.4898467066
109	0.4896150775
110	0.4892084335
111	0.4887323079
112	0.4883706997
113	0.4882006798
114	0.4878998227
115	0.4873969384
116	0.4872383256
117	0.4870598089
118	0.486826059
119	0.4864405547
120	0.4858580042
121	0.4855345452
122	0.4851367247
123	0.4847346593
124	0.4844189059
125	0.4839958041
126	0.4836624028
127	0.4829813153
128	0.4825565023
129	0.4824040412
130	0.4820692148
131	0.4815098696
132	0.4812692448
133	0.4809155087
134	0.4805588959
135	0.4802106886
136	0.4797747659
137	0.4795345627
138	0.4791215513
139	0.4786923188
140	0.4781389031
141	0.4776936172
142	0.4774001221
143	0.4770444208
144	0.4766789903
145	0.4761313418
146	0.4757672559
147	0.4753541254
148	0.4750242344
149	0.4745047692
150	0.4741140093
151	0.4738831209
152	0.4736044447
153	0.4733094879
154	0.4726967421
155	0.4721493485
156	0.4717494429
157	0.4713386262
158	0.4709296389
159	0.4705482316
160	0.4699445301
161	0.4696573148
162	0.4692809683
163	0.468900054
164	0.4685185195
165	0.4679225567
166	0.4676153456
167	0.4673937416
168	0.4671097672
169	0.4667147688
170	0.4665063465
171	0.4663079589
172	0.4660509585
173	0.4656885635
174	0.4654255785
175	0.4651199331
176	0.464648222
177	0.4644460926
178	0.4641196919
179	0.4638670658
180	0.4635211875
181	0.463165064
182	0.4628043128
183	0.462521205
184	0.462202519
185	0.4616908353
186	0.46123558
187	0.4608759372
188	0.4604829991
189	0.4600963166
190	0.4597748364
191	0.4595418081
192	0.4591655365
193	0.4588098899
194	0.458303556
195	0.4581018754
196	0.4576116378
197	0.4573224196
198	0.4569544608
199	0.4566840994
200	0.4564308641
201	0.4562244421
202	0.4559389409
203	0.455808285
204	0.4555370619
205	0.4551301745
206	0.4547526826
207	0.4545435552
208	0.4543603018
209	0.4539600005
210	0.4534770456
211	0.4532594571
212	0.4530945609
213	0.4528622664
214	0.4525942169
215	0.4521945984
216	0.4518952425
217	0.4514345086
218	0.4513187773
219	0.4510215829
220	0.4508555608
221	0.4504975997
222	0.4503045359
223	0.4498766349
224	0.449476651
225	0.4491099827
226	0.4487948657
227	0.4486080961
228	0.4484589637
229	0.4481422152
230	0.4477795424
231	0.4476265966
232	0.4473183417
233	0.4471249686
234	0.4468960267
235	0.4466916131
236	0.4464302219
237	0.4462206127
238	0.4459511789
239	0.4457477954
240	0.4455129433
241	0.445307928
242	0.4451432303
243	0.4449841375
244	0.4448076406
245	0.444583434
246	0.4444124945
247	0.4441772325
248	0.444025485
249	0.4438163269
250	0.4435361081
251	0.4434094568
252	0.4430745009
253	0.4429047936
254	0.4424571692
255	0.442303417
256	0.4421169963
257	0.4418932748
258	0.4416782197
259	0.4415609786
260	0.4413601752
261	0.4411408088
262	0.4408955548
263	0.440745261
264	0.4405061133
265	0.4403000153
266	0.4400309596
267	0.4398838292
268	0.4397948307
269	0.4396806326
270	0.4393946898
271	0.4393146832
272	0.4390851513
273	0.4389347446
274	0.4388162708
275	0.4386665947
276	0.4385030595
277	0.4383183462
278	0.437934071
279	0.4377132083
280	0.4373826447
281	0.4369909542
