iter	Passed	Remaining
0	36	18441
1	72	18138
2	110	18248
3	148	18425
4	187	18537
5	228	18826
6	269	18947
7	351	21596
8	403	22039
9	444	21774
10	481	21416
11	530	21590
12	572	21462
13	610	21187
14	654	21151
15	688	20824
16	723	20568
17	760	20377
18	794	20112
19	836	20070
20	874	19949
21	908	19734
22	940	19495
23	982	19493
24	1021	19411
25	1058	19291
26	1100	19276
27	1141	19238
28	1180	19168
29	1216	19052
30	1255	18992
31	1308	19139
32	1356	19197
33	1403	19235
34	1445	19204
35	1478	19057
36	1519	19017
37	1560	18970
38	1602	18943
39	1640	18870
40	1681	18819
41	1716	18722
42	1752	18622
43	1790	18558
44	1829	18499
45	1867	18435
46	1903	18344
47	1940	18272
48	1988	18304
49	2024	18216
50	2062	18162
51	2106	18150
52	2143	18077
53	2189	18082
54	2223	17987
55	2259	17910
56	2291	17811
57	2324	17711
58	2361	17654
59	2393	17555
60	2432	17503
61	2466	17423
62	2504	17370
63	2541	17313
64	2576	17243
65	2623	17252
66	2663	17210
67	2701	17164
68	2734	17078
69	2776	17055
70	2809	16975
71	2837	16869
72	2882	16861
73	2921	16818
74	2958	16767
75	2998	16728
76	3029	16643
77	3072	16624
78	3106	16557
79	3144	16508
80	3186	16481
81	3221	16423
82	3257	16367
83	3292	16304
84	3334	16278
85	3367	16210
86	3401	16146
87	3443	16123
88	3485	16093
89	3523	16052
90	3553	15971
91	3589	15917
92	3620	15844
93	3656	15791
94	3693	15745
95	3731	15702
96	3765	15646
97	3801	15595
98	3841	15561
99	3881	15526
100	3926	15511
101	3970	15490
102	4008	15451
103	4042	15393
104	4078	15341
105	4117	15306
106	4157	15270
107	4211	15287
108	4245	15230
109	4286	15198
110	4325	15158
111	4372	15147
112	4403	15079
113	4435	15018
114	4474	14978
115	4521	14966
116	4559	14923
117	4594	14874
118	4640	14856
119	4678	14816
120	4730	14815
121	4767	14770
122	4799	14709
123	4830	14648
124	4866	14599
125	4902	14552
126	4936	14497
127	4972	14450
128	5008	14405
129	5040	14344
130	5078	14304
131	5111	14250
132	5151	14216
133	5191	14180
134	5234	14152
135	5274	14116
136	5310	14071
137	5349	14033
138	5381	13976
139	5419	13937
140	5454	13887
141	5495	13854
142	5537	13825
143	5578	13790
144	5613	13742
145	5656	13714
146	5695	13678
147	5733	13635
148	5766	13584
149	5808	13552
150	5848	13517
151	5883	13470
152	5919	13426
153	5959	13388
154	5997	13349
155	6041	13322
156	6089	13304
157	6129	13268
158	6169	13230
159	6202	13181
160	6240	13139
161	6279	13101
162	6316	13059
163	6354	13019
164	6400	12994
165	6440	12958
166	6476	12914
167	6508	12862
168	6542	12814
169	6580	12774
170	6614	12726
171	6653	12687
172	6690	12646
173	6727	12604
174	6760	12554
175	6795	12510
176	6832	12468
177	6874	12435
178	6913	12397
179	6952	12360
180	6991	12322
181	7028	12281
182	7067	12242
183	7119	12227
184	7165	12201
185	7205	12163
186	7250	12135
187	7290	12099
188	7338	12075
189	7373	12030
190	7413	11993
191	7448	11948
192	7488	11911
193	7525	11869
194	7569	11840
195	7603	11793
196	7644	11757
197	7678	11711
198	7718	11674
199	7756	11634
200	7795	11596
201	7834	11557
202	7866	11509
203	7907	11473
204	7945	11433
205	7976	11384
206	8031	11368
207	8079	11342
208	8115	11300
209	8159	11267
210	8201	11233
211	8236	11189
212	8278	11155
213	8315	11113
214	8348	11067
215	8385	11025
216	8422	10983
217	8464	10949
218	8504	10911
219	8544	10874
220	8592	10847
221	8628	10804
222	8662	10760
223	8700	10719
224	8734	10676
225	8781	10646
226	8816	10602
227	8851	10559
228	8890	10521
229	8925	10478
230	8959	10433
231	8999	10395
232	9068	10392
233	9110	10356
234	9147	10315
235	9196	10288
236	9230	10243
237	9268	10202
238	9310	10167
239	9342	10121
240	9380	10081
241	9419	10042
242	9452	9996
243	9489	9956
244	9534	9924
245	9567	9878
246	9608	9841
247	9648	9804
248	9683	9761
249	9724	9724
250	9761	9683
251	9801	9646
252	9842	9609
253	9892	9580
254	9987	9596
255	10033	9563
256	10067	9519
257	10109	9482
258	10156	9450
259	10199	9414
260	10237	9374
261	10287	9344
262	10329	9308
263	10369	9269
264	10410	9231
265	10454	9197
266	10496	9160
267	10545	9129
268	10586	9090
269	10625	9051
270	10668	9015
271	10715	8982
272	10757	8944
273	10813	8918
274	10855	8881
275	10933	8873
276	10977	8837
277	11011	8793
278	11062	8762
279	11100	8721
280	11141	8683
281	11203	8660
282	11245	8622
283	11292	8589
284	11329	8546
285	11364	8503
286	11412	8470
287	11448	8427
288	11490	8389
289	11531	8350
290	11565	8306
291	11599	8262
292	11646	8227
293	11688	8189
294	11727	8149
295	11764	8108
296	11799	8065
297	11841	8026
298	11883	7988
299	11921	7947
300	11988	7925
301	12041	7894
302	12087	7859
303	12132	7822
304	12179	7786
305	12225	7751
306	12280	7720
307	12318	7679
308	12362	7641
309	12406	7604
310	12450	7566
311	12487	7524
312	12523	7482
313	12563	7442
314	12614	7408
315	12652	7367
316	12699	7331
317	12754	7299
318	12794	7259
319	12839	7222
320	12880	7182
321	12928	7146
322	12992	7119
323	13037	7082
324	13079	7042
325	13118	7002
326	13167	6966
327	13200	6922
328	13250	6887
329	13336	6870
330	13378	6830
331	13417	6789
332	13455	6747
333	13502	6710
334	13543	6670
335	13579	6628
336	13619	6587
337	13654	6544
338	13692	6502
339	13724	6458
340	13762	6417
341	13831	6389
342	13881	6353
343	13923	6314
344	13957	6270
345	13996	6229
346	14036	6189
347	14076	6148
348	14118	6108
349	14161	6069
350	14193	6024
351	14226	5981
352	14259	5937
353	14302	5898
354	14349	5860
355	14386	5819
356	14422	5777
357	14464	5737
358	14497	5694
359	14542	5655
360	14584	5615
361	14624	5575
362	14658	5532
363	14713	5497
364	14777	5465
365	14818	5425
366	14850	5381
367	14883	5338
368	14928	5299
369	14968	5259
370	15005	5217
371	15040	5175
372	15086	5136
373	15128	5096
374	15169	5056
375	15210	5016
376	15245	4974
377	15291	4935
378	15331	4894
379	15367	4852
380	15405	4811
381	15443	4770
382	15479	4728
383	15522	4689
384	15566	4649
385	15610	4610
386	15662	4573
387	15703	4533
388	15739	4491
389	15774	4449
390	15815	4408
391	15851	4367
392	15891	4326
393	15929	4285
394	15960	4242
395	16001	4202
396	16034	4160
397	16071	4118
398	16112	4078
399	16161	4040
400	16204	4000
401	16248	3961
402	16285	3919
403	16318	3877
404	16357	3837
405	16398	3796
406	16439	3756
407	16484	3717
408	16529	3677
409	16571	3637
410	16608	3596
411	16649	3556
412	16687	3515
413	16735	3476
414	16776	3436
415	16814	3395
416	16855	3355
417	16894	3314
418	16939	3274
419	16973	3233
420	17017	3193
421	17062	3153
422	17099	3112
423	17137	3071
424	17184	3032
425	17233	2993
